
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF19aaaiszg,AT2019wuu,05:27:52.61,+73:41:58.4,898.63,r,18.6717,-,>114.932,56.842,>58.09,AGN,-,20.4008511,0.365
ZTF19aaaizjh,AT2019scm,05:48:02.50,-02:22:10.8,761.97,r,17.5422,-,>8.51,>0,>8.51,CV,-,-15.17122682,2.881
ZTF19aaajarm,-,05:00:24.18,-11:53:48.6,716.98,r,18.0902,-,269.196,202.288,66.908,AGN,-,-29.97418528,0.313
ZTF19aaapnrt,AT2021dtj,12:52:44.21,+03:15:45.8,1267.92,r,18.9767,-,>6.02,>2.04,>3.98,AGN,-,66.13240271,0.084
ZTF19aabfzin,AT2019nz,00:47:30.33,+15:41:49.5,1459.86,r,17.9806,-,25.461,9.158,16.303,AGN,-,-47.16393373,0.145
ZTF19aabhktg,AT2019ssz,04:02:55.95,+63:29:52.1,1088.93,r,17.6493,-,>179.869,>176.24,3.629,CV,-,8.1451052,1.865
ZTF19aabimbg,AT2019th,05:10:39.25,+17:36:45.0,491.69,g,15.0385,-,2.454,0.142,2.312,CV,-,-12.89403945,0.945
ZTF19aabyoce,AT2016ajv,10:29:37.75,+41:40:46.4,1250.80,g,16.6469,-,>7.472,>2.02,5.452,CV,-,57.63834407,0.028
ZTF19aabyxhe,AT2019aait,12:51:55.93,-12:24:38.1,1207.01,r,17.8622,-,>16.233,16.233,>0,AGN,-,50.46078718,0.104
ZTF19aaciohh,AT2019baf,17:52:00.12,+65:37:35.9,513.05,g,17.8549,-,46.537,20,26.537,AGN,-,30.63271101,0.133
ZTF19aacipwt,AT2018lmb,14:08:24.47,-15:59:28.7,1274.94,g,18.041,-,374.081,292.752,81.329,AGN,-,43.01026821,0.269
ZTF19aacomym,-,01:44:21.11,+50:06:56.9,777.64,r,18.6241,-18.84,68.725,43.655,25.07,AGN,0.06,-11.86770741,0.455
ZTF19aacwjfb,AT2019pb,10:57:56.81,+16:54:34.3,586.71,r,18.2497,-,23.055,12.024,11.031,AGN,-,61.86642001,0.065
ZTF19aademoc,AT2019chb,11:05:03.60,+07:45:31.0,1302.74,r,17.9707,-,71.815,46.571,25.244,AGN,-,58.22233996,0.096
ZTF19aadfumv,AT2019did,12:45:57.42,-12:51:19.7,980.79,r,17.3242,-,91.089,65.289,25.8,AGN,-,49.99422854,0.149
ZTF19aadggnt,AT2019cki,13:40:58.72,+05:59:47.2,642.69,g,18.0907,-,382.772,81.462,301.31,AGN,-,65.80486544,0.063
ZTF19aadpxek,AT2019tay,04:15:09.21,+34:06:00.3,504.78,r,17.8768,-,11.004,4.997,6.007,CV,-,-12.05507029,0.963
ZTF19aadufor,AT2019hvq,16:02:11.06,-07:07:51.1,1402.77,g,17.4867,-,>7.212,>3.06,4.152,CV,-,32.54008574,0.45
ZTF19aaduwcj,AT2019aabr,05:37:34.90,+11:25:00.5,872.73,g,18.3757,-,375.283,370.326,4.957,CV?,-,-10.72117833,0.87
ZTF19aaefsad,-,04:27:25.04,+07:35:44.6,1096.91,r,18.3624,-,>70.213,>11.95,58.263,AGN,-,-27.27884789,0.624
ZTF19aaerfxo,AT2019aahr,08:21:10.70,-14:42:01.2,791.02,g,18.3302,-,>355.12,>281.25,>73.87,CV,-,12.28772445,0.162
ZTF19aafcgif,AT2019cpf,10:38:20.85,-10:07:00.0,1226.99,r,17.1592,-,37.902,8.057,29.845,AGN,-,40.72480445,0.11
ZTF19aaflcgn,AT2019bvp,10:38:33.61,-07:10:15.2,556.77,r,16.6744,-,>5.758,5.758,>0,AGN,-,42.98467321,0.16
ZTF19aaflhah,AT2019czn,10:22:24.86,-14:28:57.6,608.71,r,18.3407,-,>329.009,23.949,>305.06,AGN,-,34.87798709,0.254
ZTF19aafmwcu,AT2019emx,13:13:05.77,-11:07:42.3,672.69,r,17.5626,-,>190.39,>32.02,>158.37,AGN,-,51.38414782,0.143
ZTF19aagnhug,AT2019bxf,09:27:55.66,-19:10:04.9,573.73,r,17.9597,-,72.256,61.297,10.959,AGN,-,22.37781554,0.139
ZTF19aagzanb,AT2019zsd,04:32:02.86,-10:24:07.6,898.63,r,17.8883,-,>62.36,47.32,>15.04,AGN,-,-35.62719314,0.169
ZTF19aailpwl,AT2019brs,14:27:46.40,+29:30:38.2,712.74,r,18.2331,-,379.846,144.856,234.99,AGN,-,68.70341822,0.043
ZTF19aailtfn,AT2019awf,16:26:59.56,+44:23:02.4,534.91,r,18.7912,-,>39.125,15.245,>23.88,AGN,-,43.93197229,0.027
ZTF19aaingkb,AT2019nqj,02:48:38.78,-13:22:28.0,781.82,r,18.5683,-,119.17,67.262,51.908,AGN,-,-59.37752127,0.073
ZTF19aaiohcc,AT2019caf,03:58:17.56,+07:55:12.0,1627.65,r,18.312,-,>107.91,94.91,>13,AGN,-,-32.79019958,0.492
ZTF19aaippyv,AT2017bwa,09:42:10.32,+06:50:18.5,1697.71,g,18.3118,-,>42.507,20.487,>22.02,AGN,-,40.79604341,0.092
ZTF19aaipqls,AT2019cjm,09:38:12.27,+07:43:40.1,912.71,r,17.2512,-,31.355,9.282,22.073,AGN,-,40.38257118,0.113
ZTF19aaiqmgl,AT2019avd,08:23:36.77,+04:23:02.4,534.82,r,16.7977,-,28.88,10.873,18.007,AGN?,-,22.47051065,0.072
ZTF19aajwlap,AT2019bvr,10:55:33.56,+65:09:56.0,649.74,r,18.1553,-,19.993,16.635,3.358,AGN,-,47.80313876,0.106
ZTF19aajwtkb,AT2019cai,12:45:06.91,-03:21:57.2,1017.73,r,18.8543,-,>786.971,467.891,>319.08,AGN,-,59.46739436,0.073
ZTF19aakiygv,AT2019aahu,16:51:53.77,+70:25:25.5,1297.81,g,14.6156,-,>6.832,>0.03,>6.802,CV,-,35.32493336,0.106
ZTF19aaklfkk,AT2017cox,07:49:49.63,-02:17:52.4,749.02,g,16.6093,-,>4.267,>0.03,>4.237,CV,-,11.87841473,0.155
ZTF19aaklvyh,AT2017fqm,03:02:38.70,+42:35:34.5,1170.72,g,17.6925,-,>6.172,>0,>6.172,CV,-,-14.01152663,0.422
ZTF19aakpkro,AT2019bay,01:53:15.75,+42:14:02.0,1424.91,r,18.7824,-,2.796,1.224,1.572,AGN?,-,-19.18538914,0.155
ZTF19aakpkto,AT2019aahn,01:44:50.41,+45:32:42.5,760.87,g,16.8311,-,>8.423,>0.04,>8.383,CV,-,-16.31816593,0.272
ZTF19aakptvj,AT2019bcr,06:38:27.72,-20:40:35.8,539.73,g,18.4956,-,>25.321,25.321,>0,CV,-,-12.01237084,0.591
ZTF19aakswwb,AT2019bba,14:34:34.59,+14:05:48.3,557.92,r,18.8322,-,42.544,29.729,12.815,AGN,-,62.66074149,0.06
ZTF19aaktorq,AT2019biz,12:58:30.99,-04:53:48.9,637.71,g,17.6225,-,289.563,76.947,212.616,AGN,-,57.92912044,0.066
ZTF19aakxogv,AT2019bdi,09:11:18.90,+46:23:07.6,556.70,r,18.8784,-,34.593,18.374,16.219,AGN,-,42.99939414,0.039
ZTF19aakyofv,AT2018byt,07:46:47.51,+15:42:13.5,540.75,r,17.9619,-,10.087,4.086,6.001,CV,-,19.16841056,0.079
ZTF19aakyqhj,AT2017awy,07:08:57.10,+17:57:35.1,1329.70,r,17.7715,-,>0,>0,>0,CV,-,11.84345573,0.371
ZTF19aalbaff,AT2019blg,12:58:50.95,+52:39:13.8,546.78,g,18.1493,-,19.533,5.951,13.582,AGN,-,64.43709816,0.039
ZTF19aalfjvu,AT2019aajr,12:54:08.13,+48:27:46.2,1304.76,g,18.6699,-,60.26,35.202,25.058,AGN,-,68.65911219,0.045
ZTF19aalrfnw,AT2016yw,14:43:30.20,+08:12:20.4,543.98,g,15.9643,-,>4.934,1.024,>3.91,CV?,-,57.42964476,0.08
ZTF19aalwfly,-,03:51:19.01,+29:25:36.4,1622.78,r,16.3127,-,>3.722,>0.07,>3.652,CV,-,-18.92821817,0.616
ZTF19aalxsfe,AT2019cay,08:01:36.84,-06:36:09.5,1250.83,r,17.1515,-,>382.741,>123.85,258.891,AGN,-,12.36075549,0.209
ZTF19aalzdfg,AT2019cas,12:14:03.40,-19:21:42.7,852.02,g,18.1379,-,>87.531,>20.96,66.571,AGN,-,42.63582575,0.139
ZTF19aamfupg,AT2019bwe,05:19:56.51,+65:12:20.7,556.63,g,17.9238,-,9.844,2.629,7.215,CV,-,15.59751944,0.557
ZTF19aamgeup,AT2019cap,08:14:14.92,+08:04:49.5,557.67,g,18.3406,-,>306.009,1.839,>304.17,CV,-,22.06135645,0.06
ZTF19aamiwwa,AT2019car,12:19:35.02,-13:57:15.4,560.75,g,18.5375,-,>17.363,17.363,>0,AGN,-,48.19631502,0.175
ZTF19aamjjcx,AT2019cak,02:07:02.20,+29:30:46.0,1638.64,g,17.7765,-,>119.273,>15.94,103.333,AGN,-,-30.53914803,0.178
ZTF19aamnvaq,AT2020qut,03:50:03.36,+37:00:52.1,1066.93,g,17.7981,-,>3.04,>0,>3.04,CV,-,-13.35642331,0.853
ZTF19aampokl,AT2019cbl,06:30:44.35,-06:02:41.4,559.67,r,17.841,-,9.274,2.738,6.536,CV,-,-7.34489716,1.797
ZTF19aamqlah,AT2019bxb,13:39:56.77,+43:03:44.7,975.79,g,18.7496,-,>9.425,>1.03,8.395,CV,-,71.27458667,0.033
ZTF19aamvfmx,AT2019ddu,19:25:17.22,+33:50:43.2,568.01,g,16.8347,-,8.659,2.427,6.232,CV,-,8.34819606,0.42
ZTF19aamyzoo,AT2019uxb,07:01:55.85,+18:45:04.5,1325.70,g,18.7584,-,>4.01,>0.03,>3.98,CV,-,10.67003301,0.167
ZTF19aanepuf,AT2019cll,08:57:09.62,-03:20:29.4,1622.80,g,16.4963,-,>351.191,>344.13,7.061,CV,-,25.89548436,0.04
ZTF19aanfrmq,AT2019dcj,10:36:14.82,-03:06:05.8,888.76,g,18.6055,-,47.41,31.402,16.008,AGN,-,45.54743186,0.147
ZTF19aangwaa,-,10:55:30.42,+13:21:17.8,1371.73,r,18.4307,-,>352.509,82.439,>270.07,AGN,-,59.63260431,0.07
ZTF19aanhffu,AT2018ik,11:16:52.47,+01:14:36.0,567.77,g,16.2353,-,7.205,1.756,5.449,CV,-,55.58843773,0.087
ZTF19aanipsc,AT2019csj,18:21:47.08,+19:39:13.5,568.00,g,17.0389,-,7.279,3.138,4.141,CV?,-,15.15946809,0.462
ZTF19aanmcrd,AT2019clm,16:02:32.14,+16:17:31.5,569.00,r,18.2105,-,11.467,6.698,4.769,CV,-,44.58922835,0.096
ZTF19aanneuv,AT2019cog,17:45:21.90,+03:18:00.1,569.02,r,17.534,-,>85.947,3.027,>82.92,CV,-,16.19291174,0.872
ZTF19aanpgdu,AT2019clj,16:42:53.89,-05:17:08.8,573.94,r,15.7598,-,14.236,7.376,6.86,CV,-,25.42816577,1.284
ZTF19aanujan,AT2019csq,19:25:19.60,+40:02:37.3,573.00,g,16.9207,-,5.744,1.328,4.416,CV,-,11.12727561,0.327
ZTF19aanvbqa,AT2019cni,17:27:50.16,+23:52:47.5,575.98,r,16.0854,-,5.995,2.995,3,CV?,-,28.35366528,0.162
ZTF19aaocejx,AT2019cqg,17:11:09.30,-09:19:37.2,574.94,r,16.5226,-,11.565,4.149,7.416,CV,-,17.35166389,1.483
ZTF19aaodojg,AT2019csf,21:36:57.98,+30:56:51.1,1185.60,g,15.3575,-,>9.062,>0,>9.062,CV,-,-15.67019533,0.485
ZTF19aaojljx,AT2019ehb,11:49:14.82,+45:34:45.7,1711.70,g,18.0761,-,>119.02,>87.89,>31.13,AGN,-,67.78945079,0.059
ZTF19aapbsne,AT2019cox,09:15:30.34,-04:46:26.1,581.67,g,16.3638,-,8.345,2.512,5.833,CV,-,28.91879335,0.087
ZTF19aapbsrv,AT2016bmu,08:45:45.31,-05:11:30.2,1267.78,g,17.1926,-,>7.853,>0,>7.853,CV,-,22.50349357,0.05
ZTF19aapqcnf,AT2019ddy,16:22:04.34,-19:43:27.3,673.71,r,17.7377,-,4.933,1.638,3.295,AGN,-,20.74872485,3.888
ZTF19aapqrtr,AT2019ddo,20:09:35.23,+05:28:20.8,1673.98,g,17.5459,-,>4.745,>0,>4.745,CV,-,-14.64238096,0.574
ZTF19aaprcke,AT2019iht,19:23:58.97,-18:29:33.9,775.61,g,17.8238,-,17.061,9.413,7.648,CV,-,-15.31246216,0.258
ZTF19aaprdox,AT2019dsf,19:22:34.76,-16:32:53.6,582.96,r,17.4995,-,>65.359,>0,>65.359,AGN,-,-14.20773072,0.415
ZTF19aapwlhg,AT2019dms,18:56:04.89,+26:22:52.6,1062.86,g,17.761,-,>254.11,>250.24,3.87,CV,-,10.74634531,0.654
ZTF19aapxakc,AT2019dgf,05:42:38.02,+45:32:50.8,585.65,r,17.2945,-,10.463,1.341,9.122,CV,-,8.11608266,1.264
ZTF19aapzrfg,AT2020noj,14:58:59.35,+04:16:13.8,1035.82,r,16.8767,-,6.837,4.382,2.455,AGN,-,51.95542307,0.141
ZTF19aaqhmju,AT2019gvi,12:51:32.38,-14:13:16.0,913.92,r,17.8608,-,53.34,27.964,25.376,AGN,-,48.65048897,0.15
ZTF19aaqstxo,AT2019dob,19:46:20.39,+59:26:33.0,1167.68,g,17.9355,-,>34.815,>25.96,8.855,CV,-,16.57683452,0.201
ZTF19aargcuk,AT2019gwe,18:14:07.92,+14:19:27.1,1491.63,g,17.2193,-,9.527,4.274,5.253,CV,-,14.62922449,0.404
ZTF19aargomy,AT2019dtl,19:57:59.10,-01:37:52.7,593.98,g,16.2329,-,5.123,1.262,3.861,CV,-,-15.52638806,0.757
ZTF19aarhrru,AT2019dxt,07:37:31.05,+55:05:42.6,617.72,r,18.5644,-,>22.032,22.032,>0,AGN,-,28.40235796,0.172
ZTF19aarpxqx,AT2019evj,20:35:16.32,+22:18:55.0,597.95,r,15.6163,-,6.108,0.796,5.312,CV?,-,-10.7923734,0.347
ZTF19aarpymc,-,18:59:17.68,+29:01:25.2,1256.06,r,17.652,-,>483.88,>0.01,>483.87,AGN,-,11.21891105,0.51
ZTF19aarsrls,AT2019eej,08:47:14.51,+61:00:33.0,1252.72,r,16.9898,-,1.919,0.834,1.085,AGN?,-,37.41969419,0.15
ZTF19aarxvtu,AT2019hae,16:55:14.93,-17:52:54.4,598.88,r,17.9413,-,44.52,4.363,40.157,CV?,-,15.73757577,0.916
ZTF19aasltzs,AT2019ekt,19:24:43.57,+38:44:06.3,605.99,g,18.0403,-,>6.26,>0.013,>6.247,CV,-,10.65177809,0.275
ZTF19aaticbv,AT2019eku,19:10:34.88,+25:58:20.2,606.00,g,16.5142,-,7.512,0.854,6.658,CV,-,7.63949267,0.994
ZTF19aatihek,AT2019ejy,19:50:26.44,+51:05:12.2,605.99,g,17.5058,-,8.888,2.327,6.561,CV,-,12.26671344,0.374
ZTF19aatjfny,AT2019ejq,12:39:22.84,-04:52:03.4,634.75,r,17.9728,-,38.452,22.499,15.953,AGN,-,57.87163683,0.07
ZTF19aattvhh,AT2019moi,21:17:15.14,+37:11:25.5,1504.73,g,17.452,-,>2.413,>0,>2.413,CV,-,-8.37399287,0.467
ZTF19aatwljq,-,08:02:03.26,+00:16:20.1,1329.68,g,16.4654,-,>5.99,>0,>5.99,CV,-,15.78755865,0.123
ZTF19aaumdqx,AT2019aacc,18:45:00.70,+16:33:46.9,944.00,r,18.7234,-,>389.737,332.897,>56.84,CV,-,8.85332083,1.241
ZTF19aaumtxz,AT2019fda,17:47:49.04,+18:41:13.0,612.94,r,15.4307,-,4.25,0.67,3.58,CV,-,22.15646096,0.211
ZTF19aauptux,AT2019fll,15:40:47.46,+68:31:51.3,616.79,g,15.9795,-,9.226,1.391,7.835,CV,-,41.6919002,0.086
ZTF19aaustkj,AT2016exx,21:03:18.72,+31:59:18.6,1016.89,g,17.006,-,>8.198,>3.05,5.148,CV,-,-9.7420443,0.566
ZTF19aavajub,AT2019flg,20:53:30.37,+20:29:30.7,1338.94,g,15.3264,-,>5.369,>0,>5.369,CV,-,-15.28997696,0.403
ZTF19aavantx,AT2020qry,23:02:57.00,+51:12:49.5,1215.64,g,17.1216,-,>6.057,>0.02,>6.037,CV,-,-8.09196494,0.612
ZTF19aavdioh,AT2020jhl,19:09:00.53,-13:59:30.1,1415.86,r,17.4709,-,11.013,4.572,6.441,CV,-,-10.15962168,0.677
ZTF19aavnotr,AT2019gzq,21:27:30.25,+25:07:45.6,628.96,g,16.5909,-,7.815,1.913,5.902,CV,-,-18.27726881,0.417
ZTF19aavolzm,AT2019fzq,18:31:19.16,+19:49:29.5,1341.87,g,17.8462,-,>5.735,>0,>5.735,CV,-,13.18221003,0.496
ZTF19aavomif,AT2019fzr,18:41:00.65,+16:09:29.0,632.82,r,17.2711,-,11.106,1.126,9.98,CV?,-,9.54224865,1.365
ZTF19aavsyfv,AT2020edm,16:02:04.81,+03:16:31.6,905.05,g,17.1686,-,>10,>0.01,>9.99,CV?,-,38.64552709,0.367
ZTF19aaweqnm,-,20:44:22.15,-09:57:35.4,1510.71,g,17.0263,-,>725.979,>522.75,203.229,AGN,-,-29.57313829,0.153
ZTF19aawevgq,AT2019ghr,22:41:39.99,+42:35:40.3,1686.00,r,18.404,-,>5,>1.01,3.99,CV,-,-14.14076884,0.529
ZTF19aawevyv,AT2019aaia,22:28:42.41,+43:13:46.0,1478.83,g,17.8912,-,9.286,2.007,7.279,CV,-,-12.38045005,0.423
ZTF19aawlgne,SN2019gwl,20:56:52.70,-16:35:08.8,1394.92,r,17.6753,-,100.104,31.427,68.677,AGN?,-,-35.03331081,0.15
ZTF19aawolyt,AT2019grq,16:12:44.13,+06:06:47.3,636.77,g,16.4493,-,6.588,0.577,6.011,CV?,-,37.84537531,0.136
ZTF19aawrlnz,AT2019aafd,17:58:03.46,-00:27:27.8,1370.87,r,18.1517,-,>7.003,>0,>7.003,CV?,-,11.64074773,1.216
ZTF19aawrpwn,AT2019hai,20:02:08.81,+06:16:13.2,639.90,r,15.6855,-,7.914,2.245,5.669,CV,-,-12.64018107,0.407
ZTF19aawscqd,AT2019gxv,22:10:04.56,-09:43:30.4,1774.82,r,18.2,-,>51.95,>42.88,>9.07,AGN,-,-48.21378575,0.109
ZTF19aaxbzqp,AT2019gvg,22:21:53.25,+16:20:55.4,637.97,g,17.2009,-,6.998,0.644,6.354,CV,-,-33.3801466,0.145
ZTF19aaxhzol,AT2019hvb,22:40:30.21,+03:21:30.3,644.94,g,18.6128,-,>213.618,6.948,>206.67,AGN,-,-46.10825188,0.192
ZTF19aaxkgxa,AT2019gwi,15:52:18.53,-21:48:44.5,639.79,r,18.3344,-,20.939,14.711,6.228,CV?,-,24.36875519,0.667
ZTF19aaxnqju,-,19:50:19.73,+03:26:29.8,1167.65,g,17.4195,-,>112.422,>105.85,6.572,CV?,-,-11.44338804,0.504
ZTF19aaxnrkb,AT2016eom,21:05:29.42,+23:23:51.3,1305.99,g,18.7509,-,>666.625,664.615,>2.01,CV,-,-15.65855456,0.423
ZTF19aaxnsjl,AT2019haj,20:51:01.53,+32:35:37.7,639.94,g,17.2351,-,6.411,0.595,5.816,CV,-,-7.36049915,0.608
ZTF19aaxugwk,AT2019hau,19:28:22.33,+55:32:01.0,641.93,g,13.7036,-,2.328,0.336,1.992,CV?,-,17.16498251,0.324
ZTF19aaxwbrc,AT2019hta,19:16:37.55,-18:33:06.2,1457.73,g,17.2006,-,6.331,1.616,4.715,CV?,-,-13.7459782,0.382
ZTF19aayfhtc,AT2019hbx,17:39:12.77,+01:24:56.0,642.88,g,16.77,-,3.891,0.636,3.255,CV,-,16.68049582,0.735
ZTF19aayhvar,AT2019hhb,19:46:47.07,+02:22:02.2,642.94,r,18.7821,-,7.051,1.06,5.991,CV,-,-11.17616076,0.724
ZTF19aaynmvm,AT2019hem,20:32:19.92,-22:04:25.2,684.94,r,18.6313,-,>141.74,>41,>100.74,AGN?,-,-31.52209117,0.198
ZTF19aaynnae,AT2019hen,20:33:16.62,-22:53:16.9,1454.79,r,18.022,-,341.696,300.166,41.53,AGN,-,-31.99254149,0.142
ZTF19aaytisr,AT2019aafu,17:54:36.32,-01:38:05.5,1466.67,r,16.694,-,>8.401,>0,>8.401,CV,-,11.84979455,1.327
ZTF19aayurjv,AT2019teg,18:26:17.17,+03:29:37.9,1718.82,r,17.6736,-,>221.082,>216.2,4.882,CV,-,7.18566654,1.506
ZTF19aayvpbf,AT2019ifn,21:06:51.06,-21:54:19.8,673.94,r,18.3009,-,>86.802,>28,58.802,AGN,-,-39.05800744,0.131
ZTF19aayvyfa,AT2019kkl,02:37:56.34,+39:11:48.2,1452.97,g,17.9999,-,>261.408,73.658,>187.75,AGN,-,-19.17205447,0.195
ZTF19aaywash,AT2021bpy,02:32:13.84,+48:20:34.2,1248.66,r,14.1922,-,7.89,1.888,6.002,CV,-,-11.21988619,0.497
ZTF19aazdroc,AT2019aaot,00:12:16.69,-05:43:38.6,1801.92,g,18.474,-,>51.97,>45.99,>5.98,AGN,-,-66.65775355,0.095
ZTF19aazgdlv,AT2019hkm,15:27:36.72,+16:44:04.2,1349.86,g,18.5925,-,>5.05,>0.05,>5,CV,-,52.48993646,0.098
ZTF19aazlpqy,AT2019ktc,21:34:45.13,-27:25:55.4,1406.99,r,16.9721,-,>382.02,>15.07,>366.95,AGN,-,-46.59503041,0.098
ZTF19aazodnk,AT2019htd,19:37:51.24,+46:29:51.3,650.97,g,17.8017,-,4.577,1.006,3.571,CV,-,11.97674359,0.406
ZTF19aazqlwp,AT2019hny,17:15:04.37,+00:28:17.8,649.84,g,17.4748,-,5.185,0.942,4.243,CV?,-,21.53242792,0.721
ZTF19aazrnvw,AT2019kte,00:31:41.82,+51:54:08.4,649.88,g,16.5231,-,6.672,0.598,6.074,CV,-,-10.85048311,0.453
ZTF19abadotn,AT2019hug,18:08:21.69,+12:25:08.5,954.92,g,17.5622,-,464.396,302.217,162.179,CV,-,15.09792302,0.513
ZTF19abadprq,AT2019kuv,18:46:47.44,+15:11:13.1,653.86,g,17.4296,-,>9.513,>0.001,>9.512,CV?,-,7.86680716,0.696
ZTF19abagewd,AT2019aacs,18:56:22.29,-13:47:27.8,1683.96,g,17.1362,-,>341.04,>339.02,>2.02,CV,-,-7.31367276,0.992
ZTF19abagian,AT2019hwd,18:22:43.96,+05:52:15.3,654.86,r,18.4168,-,9.735,2.762,6.973,CV,-,9.04677618,0.865
ZTF19abahjuv,AT2019hwe,21:07:41.20,+29:33:13.8,1710.96,g,17.4517,-,>0.08,>0.08,>0,CV,-,-12.04664782,0.435
ZTF19abalrzb,AT2019kel,17:54:28.12,-11:17:09.8,657.84,r,17.91,-,10.523,2.327,8.196,CV,-,7.2088303,3.145
ZTF19abalyyh,AT2019kuy,18:23:28.64,+05:09:26.9,657.88,r,17.9312,-,>7.361,1.401,>5.96,CV,-,8.56105369,1.092
ZTF19abamrlj,AT2019aakk,19:09:55.86,-14:25:45.6,1374.89,g,18.2523,-,>20.647,>15.01,5.637,CV,-,-10.55017895,0.544
ZTF19abasljb,AT2017chs,20:47:27.62,+25:19:31.2,1069.85,g,18.7795,-,>10.633,>4.99,5.643,CV,-,-11.24610135,0.422
ZTF19abasxmh,AT2019ibc,21:46:23.27,+29:52:57.6,658.97,g,15.5289,-,5.095,0.602,4.493,CV,-,-17.8368751,0.307
ZTF19abbtyln,AT2019kmg,17:35:23.14,-07:03:46.8,661.80,r,17.6815,-,>14.581,2.571,>12.01,CV?,-,13.39582073,2.701
ZTF19abbwmem,AT2019ijd,18:57:20.55,+36:22:40.4,662.93,g,15.4359,-,4.748,0.329,4.419,CV?,-,14.59535618,0.235
ZTF19abbxvlp,AT2019aaai,22:01:23.62,-03:47:55.0,1122.83,g,18.5103,-,557.095,322.688,234.407,AGN,-,-43.22126965,0.24
ZTF19abbyvpr,AT2020ldc,14:06:50.74,-24:42:49.8,1749.71,r,17.285,-,>69.473,58.473,>11,AGN,-,35.0620243,0.187
ZTF19abccbee,AT2019kem,20:56:25.61,+30:57:06.9,663.98,g,17.8259,-,7.848,1.303,6.545,CV,-,-9.28819189,0.549
ZTF19abceftq,AT2019jym,21:55:30.75,-22:30:08.4,1532.67,g,18.3657,-,>51.953,41.973,>9.98,AGN,-,-50.01038002,0.085
ZTF19abcemxn,AT2019iku,19:48:50.58,-05:35:29.9,665.98,g,18.3627,-,8.217,2.523,5.694,CV,-,-15.30613071,0.777
ZTF19abclykm,SN2019meh,21:27:17.45,+64:24:59.1,714.87,r,17.3292,-,84.838,34.03,50.808,AGN,-,9.76523297,2.072
ZTF19abcmhpj,AT2019ken,19:33:33.09,+43:35:41.2,1402.82,g,18.1587,-,>26.844,>20.91,5.934,CV,-,11.34126049,0.309
ZTF19abcoosk,AT2019keo,19:48:45.26,+03:09:41.1,665.75,g,15.5462,-,3.953,0.312,3.641,CV,-,-11.23185779,0.513
ZTF19abcpiag,AT2017dfl,17:38:34.85,+01:25:14.3,1115.69,g,18.0846,-,>2.205,2.205,>0,CV,-,16.82237069,0.679
ZTF19abcsyho,AT2019pcn,20:36:28.38,-08:33:12.5,1709.92,r,18.6042,-,260.817,241.141,19.676,AGN,-,-27.20611985,0.139
ZTF19abdabyi,AT2020nla,19:47:46.82,-22:54:21.4,1128.67,g,17.2858,-,380.718,371.776,8.942,CV,-,-22.14765116,0.269
ZTF19abdcvph,AT2019ktd,19:21:45.08,+29:29:01.1,667.92,g,17.9805,-,>2.29,0.43,>1.86,CV,-,7.02212512,0.89
ZTF19abdhfhr,AT2019knw,19:44:14.50,-16:07:42.0,669.90,r,18.0,-,22.963,17.957,5.006,CV?,-,-18.77851953,0.512
ZTF19abdkbcx,-,22:25:58.31,-26:19:04.0,750.75,g,18.9804,-,>93.81,>82.81,>11,AGN,-,-57.62187237,0.057
ZTF19abdkcye,AT2019kgp,00:44:30.94,-14:14:42.0,670.96,g,18.7189,-,>30.324,>3.02,27.304,AGN?,-,-77.01606144,0.055
ZTF19abdlffo,AT2019kpq,01:55:46.38,+07:19:03.9,718.96,r,18.4408,-,40.024,22.011,18.013,AGN,-,-52.19545849,0.15
ZTF19abdomne,AT2019tax,19:02:37.37,-21:28:12.7,668.83,r,18.6274,-,>114.526,4.756,>109.77,CV?,-,-11.96423298,0.344
ZTF19abdqfdd,AT2018apq,00:19:03.25,+53:49:36.4,1051.95,g,17.8867,-,>8.456,>0.05,>8.406,CV,-,-8.74119129,0.99
ZTF19abdqhzt,AT2019kiw,22:52:21.16,+21:59:30.5,668.87,r,17.2208,-,3.389,0.753,2.636,CV,-,-33.06268177,0.233
ZTF19abegkxo,-,23:37:14.37,-12:21:21.8,1748.94,r,18.0924,-,>31.042,>5.01,26.032,AGN,-,54.53572324,0.072
ZTF19abfjjbi,AT2019oim,14:00:37.12,+62:21:32.6,833.98,r,18.7048,-,132.917,115.882,17.035,AGN,-,52.9556607,0.063
ZTF19abgcnzi,AT2019lbk,20:48:21.69,-05:47:13.9,677.84,g,17.3193,-,8.616,0.681,7.935,CV,-,-28.5790153,0.146
ZTF19abgczul,AT2019lix,20:00:15.58,+05:02:45.0,680.95,g,17.8035,-,8.325,1.518,6.807,CV,-,-12.83421431,0.429
ZTF19abgglfz,AT2017gya,15:40:04.95,-18:30:53.6,678.75,g,18.5711,-,>3.879,3.879,>0,CV,-,28.73561183,0.299
ZTF19abgitjn,AT2019lrf,22:44:02.02,+72:57:11.5,684.98,r,18.687,-,8.05,4.793,3.257,CV,-,12.37667037,1.392
ZTF19abgknfb,AT2019lma,16:53:00.25,-21:31:04.4,1362.81,r,18.0432,-,>10.691,>0,>10.691,CV,-,13.99392547,1.131
